# number of nodes: 835
# number of edges: 950
# number of fixed handles: 16
# 
start,end,type,l,u,w
BHER_471_B-395-1-1-arr-right,BHER_471_B-395-1-1-dep-right,waiting,5,22,2
BNK_461_B-395-1-1-dep-right,BHER_471_B-395-1-1-arr-right,driving,12,12,2
BHER_471_B-395-1-1-dep-right,BTHF_511_B-395-1-1-arr-right,driving,33,33,2
BTHF_511_B-395-1-1-arr-right,BTHF_511_B-395-1-1-dep-right,waiting,5,25,2
BTHF_511_B-395-1-1-dep-right,BSKR_531_B-395-1-12-arr-right,driving,18,18,2
BSKR_531_B-395-1-12-arr-right,BSKR_531_B-395-1-12-dep-right,waiting,5,25,1
BSKR_532_B-395-1-12-dep-right,BTHF_512_B-395-1-2-arr-right,driving,20,20,2
BTHF_512_B-395-1-2-arr-right,BTHF_512_B-395-1-2-dep-right,waiting,5,25,2
BHER_472_B-395-1-2-arr-right,BHER_472_B-395-1-2-dep-right,waiting,5,22,2
BTHF_512_B-395-1-2-dep-right,BHER_472_B-395-1-2-arr-right,driving,33,33,2
BHER_472_B-395-1-2-dep-right,BNK_462_B-395-1-2-arr-right,driving,12,12,2
BNK_462_B-395-1-2-arr-right,BNK_462_B-395-1-2-dep-right,waiting,5,22,2
BSKR_531_B-395-1-12-dep-right,BSKR_543_A-395-1-12-arr-right,driving,13.0,13.0,1
BSKR_543_A-395-1-12-arr-right,BSKR_543_A-395-1-12-dep-left,turn,20,180,1
BSKR_543_A-395-1-12-dep-left,BSKR_532_B-395-1-12-arr-right,driving,13.0,13.0,1
BSKR_532_B-395-1-12-arr-right,BSKR_532_B-395-1-12-dep-right,waiting,5,25,1
BNK_462_B-395-1-2-dep-right,henkel_10_S45_U_BFBB_BSKR_0_S45_U_BSKR_BFBB_0-395-1-21,henkel-to,36,36,2
henkel_10_S45_U_BFBB_BSKR_0_S45_U_BSKR_BFBB_0-395-1-21,BNK_461_B-395-1-1-arr-right,henkel-from,102,102,2
BNK_461_B-395-1-1-arr-right,BNK_461_B-395-1-1-dep-right,waiting,5,22,2
BHER_471_B-408-1-1-arr-right,BHER_471_B-408-1-1-dep-right,waiting,5,22,2
BNK_461_B-408-1-1-dep-right,BHER_471_B-408-1-1-arr-right,driving,12,12,2
BHER_471_B-408-1-1-dep-right,BTHF_511_B-408-1-1-arr-right,driving,33,33,2
BTHF_511_B-408-1-1-arr-right,BTHF_511_B-408-1-1-dep-right,waiting,5,25,2
BTHF_511_B-408-1-1-dep-right,BSKR_531_B-408-1-1-arr-right,driving,18,18,2
BSKR_531_B-408-1-1-arr-right,BSKR_531_B-408-1-1-dep-right,waiting,5,25,2
BSKR_531_B-408-1-1-dep-right,BSGR_601_B-408-1-1-arr-right,driving,15,15,2
BSGR_601_B-408-1-1-arr-right,BSGR_601_B-408-1-1-dep-right,waiting,5,29,2
BIP_611_B-408-1-1-arr-right,BIP_611_B-408-1-1-dep-right,waiting,5,29,2
BSGR_601_B-408-1-1-dep-right,BIP_611_B-408-1-1-arr-right,driving,12,12,2
BIP_611_B-408-1-1-dep-right,BBUP_621_B-408-1-1-arr-right,driving,13,13,2
BBUP_621_B-408-1-1-arr-right,BBUP_621_B-408-1-1-dep-right,waiting,5,29,2
BBUP_621_B-408-1-1-dep-right,BHEI_631_B-408-1-1-arr-right,driving,16,16,2
BHEI_631_B-408-1-1-arr-right,BHEI_631_B-408-1-1-dep-right,waiting,5,29,2
BHEI_631_B-408-1-1-dep-right,BHO_701_B-408-1-1-arr-right,driving,15,15,2
BHO_701_B-408-1-1-arr-right,BHO_701_B-408-1-1-dep-right,waiting,5,29,2
BHO_701_B-408-1-1-dep-right,BHAL_711_B-408-1-1-arr-right,driving,15,15,2
BHAL_711_B-408-1-1-arr-right,BHAL_711_B-408-1-1-dep-right,waiting,5,29,2
BHAL_711_B-408-1-1-dep-right,BWKRR_801_B-408-1-1-arr-right,driving,11,11,2
BWKRR_801_B-408-1-1-arr-right,BWKRR_801_B-408-1-1-dep-right,waiting,5,29,2
BWKRR_801_B-408-1-1-dep-right,BMN_801_B-408-1-1-arr-right,driving,12,12,2
BMN_801_B-408-1-1-arr-right,BMN_801_B-408-1-1-dep-right,waiting,5,29,2
BMN_801_B-408-1-1-dep-right,BWES_811_B-408-1-12-arr-right,driving,15,15,2
BWES_811_B-408-1-12-arr-right,BWES_811_B-408-1-12-dep-right,waiting,5,29,1
BWES_811_B-408-1-12-arr-right,BWES_811_B-408-1-12-dep-left,turn,20,180,1
BWES_812_B-408-1-12-dep-right,BMN_802_B-408-1-2-arr-right,driving,15,15,2
BMN_802_B-408-1-2-arr-right,BMN_802_B-408-1-2-dep-right,waiting,5,29,2
BWES_811_B-408-1-12-dep-left,BMN_802_B-408-1-2-arr-right,driving,20,20,2
BMN_802_B-408-1-2-dep-right,BWKRR_802_B-408-1-2-arr-right,driving,12,12,2
BWKRR_802_B-408-1-2-arr-right,BWKRR_802_B-408-1-2-dep-right,waiting,5,29,2
BWKRR_802_B-408-1-2-dep-right,BHAL_712_B-408-1-2-arr-right,driving,11,11,2
BWKRR_802_B-408-1-2-dep-right,BHAL_711_B-408-1-2-arr-left,driving,16,16,2
BHAL_712_B-408-1-2-arr-right,BHAL_712_B-408-1-2-dep-right,waiting,5,29,2
BHAL_711_B-408-1-2-arr-left,BHAL_711_B-408-1-2-dep-left,waiting,5,29,2
BHAL_712_B-408-1-2-dep-right,BHO_702_B-408-1-2-arr-right,driving,14,14,2
BHO_702_B-408-1-2-arr-right,BHO_702_B-408-1-2-dep-right,waiting,5,29,2
BHAL_711_B-408-1-2-dep-left,BHO_702_B-408-1-2-arr-right,driving,19,19,2
BHO_702_B-408-1-2-dep-right,BHEI_632_B-408-1-2-arr-right,driving,16,16,2
BHEI_632_B-408-1-2-arr-right,BHEI_632_B-408-1-2-dep-right,waiting,5,29,2
BHEI_632_B-408-1-2-dep-right,BBUP_622_B-408-1-2-arr-right,driving,16,16,2
BBUP_622_B-408-1-2-arr-right,BBUP_622_B-408-1-2-dep-right,waiting,5,29,2
BBUP_622_B-408-1-2-dep-right,BIP_612_B-408-1-2-arr-right,driving,13,13,2
BIP_612_B-408-1-2-arr-right,BIP_612_B-408-1-2-dep-right,waiting,5,29,2
BIP_612_B-408-1-2-dep-right,BSGR_602_B-408-1-2-arr-right,driving,11,11,2
BSGR_602_B-408-1-2-arr-right,BSGR_602_B-408-1-2-dep-right,waiting,5,29,2
BSGR_602_B-408-1-2-dep-right,BSKR_532_B-408-1-2-arr-right,driving,14,14,2
BSKR_532_B-408-1-2-arr-right,BSKR_532_B-408-1-2-dep-right,waiting,5,25,2
BSKR_532_B-408-1-2-dep-right,BTHF_512_B-408-1-2-arr-right,driving,20,20,2
BTHF_512_B-408-1-2-arr-right,BTHF_512_B-408-1-2-dep-right,waiting,5,25,2
BHER_472_B-408-1-2-arr-right,BHER_472_B-408-1-2-dep-right,waiting,5,22,2
BTHF_512_B-408-1-2-dep-right,BHER_472_B-408-1-2-arr-right,driving,33,33,2
BHER_472_B-408-1-2-dep-right,BNK_462_B-408-1-2-arr-right,driving,12,12,2
BNK_462_B-408-1-2-arr-right,BNK_462_B-408-1-2-dep-right,waiting,5,22,2
BWES_811_B-408-1-12-dep-right,BWES_824_A-408-1-12-arr-right,driving,22.0,22.0,1
BWES_824_A-408-1-12-arr-right,BWES_824_A-408-1-12-dep-left,turn,20,180,1
BWES_824_A-408-1-12-dep-left,BWES_811_B-408-1-12-arr-left,driving,22.0,22.0,1
BWES_824_A-408-1-12-dep-left,BWES_812_B-408-1-12-arr-right,driving,22.0,22.0,1
BWES_811_B-408-1-12-arr-left,BWES_811_B-408-1-12-dep-left,waiting,5,29,1
BWES_812_B-408-1-12-arr-right,BWES_812_B-408-1-12-dep-right,waiting,5,29,1
BNK_462_B-408-1-2-dep-right,henkel_11_S46_D_BKW_BWES_0_S46_D_BWES_BKW_0-408-1-21,henkel-to,186,186,2
henkel_11_S46_D_BKW_BWES_0_S46_D_BWES_BKW_0-408-1-21,BNK_461_B-408-1-1-arr-right,henkel-from,152,152,2
BNK_461_B-408-1-1-arr-right,BNK_461_B-408-1-1-dep-right,waiting,5,22,2
BHER_472_B-305-1-21-dep-right,BNK_462_B-305-1-1-arr-right,driving,12,12,2
BNK_462_B-305-1-1-arr-right,BNK_462_B-305-1-1-dep-right,waiting,5,22,2
BHER_471_B-305-1-21-arr-right,BHER_471_B-305-1-21-dep-right,waiting,5,22,1
BNK_461_B-305-1-2-dep-right,BHER_471_B-305-1-21-arr-right,driving,12,12,2
BHER_471_B-305-1-21-dep-right,BHER_484_A-305-1-21-arr-right,driving,14.0,14.0,1
BHER_484_A-305-1-21-arr-right,BHER_484_A-305-1-21-dep-left,turn,20,180,1
BHER_484_A-305-1-21-dep-left,BHER_472_B-305-1-21-arr-right,driving,14.0,14.0,1
BHER_472_B-305-1-21-arr-right,BHER_472_B-305-1-21-dep-right,waiting,5,22,1
BNK_462_B-305-1-1-dep-right,henkel_12_S47_K_BHER_BSPF_0_S47_K_BSPF_BHER_0-305-1-12,henkel-to,136,136,2
henkel_12_S47_K_BHER_BSPF_0_S47_K_BSPF_BHER_0-305-1-12,BNK_461_B-305-1-2-arr-right,henkel-from,52,52,2
BNK_461_B-305-1-2-arr-right,BNK_461_B-305-1-2-dep-right,waiting,5,22,2
BTP_572_B-491-1-1-arr-right,BTP_572_B-491-1-1-dep-right,waiting,5,22,2
BTP_574_B-491-1-1-arr-right,BTP_574_B-491-1-1-dep-right,waiting,5,22,2
BPWA_4_B-491-1-1-dep-right,BTP_572_B-491-1-1-arr-right,driving,22,22,2
BPWA_4_B-491-1-1-dep-right,BTP_574_B-491-1-1-arr-right,driving,22,22,2
BTP_572_B-491-1-1-dep-right,BWRS_624_B-491-1-1-arr-right,driving,25,25,2
BWRS_624_B-491-1-1-arr-right,BWRS_624_B-491-1-1-dep-right,waiting,5,100,2
BTP_574_B-491-1-1-dep-right,BWRS_624_B-491-1-1-arr-right,driving,25,25,2
BTP_572_B-491-1-2-arr-left,BTP_572_B-491-1-2-dep-left,waiting,5,22,2
BTP_574_B-491-1-2-arr-left,BTP_574_B-491-1-2-dep-left,waiting,5,22,2
BWRS_623_B-491-1-2-dep-right,BTP_572_B-491-1-2-arr-left,driving,30,30,2
BWRS_623_B-491-1-2-dep-right,BTP_573_B-491-1-2-arr-right,driving,25,25,2
BWRS_623_B-491-1-2-dep-right,BTP_574_B-491-1-2-arr-left,driving,30,30,2
BTP_573_B-491-1-2-arr-right,BTP_573_B-491-1-2-dep-right,waiting,5,22,2
BTP_572_B-491-1-2-dep-left,BPWA_3_B-491-1-2-arr-right,driving,28,28,2
BPWA_3_B-491-1-2-arr-right,BPWA_3_B-491-1-2-dep-right,waiting,5,67,2
BTP_573_B-491-1-2-dep-right,BPWA_3_B-491-1-2-arr-right,driving,23,23,2
BTP_574_B-491-1-2-dep-left,BPWA_3_B-491-1-2-arr-right,driving,28,28,2
BWRS_624_B-491-1-1-dep-right,henkel_21_S9_C_BFBB_BSPA_0_S9_C_BSPA_BFBB_0-491-1-12,henkel-to,134,134,2
henkel_21_S9_C_BFBB_BSPA_0_S9_C_BSPA_BFBB_0-491-1-12,BWRS_623_B-491-1-2-arr-right,henkel-from,191,191,2
BWRS_623_B-491-1-2-arr-right,BWRS_623_B-491-1-2-dep-right,waiting,5,100,2
BPWA_3_B-491-1-2-dep-right,henkel_22_S9_C_BFBB_BSPA_0_S9_C_BSPA_BFBB_0-491-1-21,henkel-to,141,141,2
henkel_22_S9_C_BFBB_BSPA_0_S9_C_BSPA_BFBB_0-491-1-21,BPWA_4_B-491-1-1-arr-right,henkel-from,178,178,2
BPWA_4_B-491-1-1-arr-right,BPWA_4_B-491-1-1-dep-right,waiting,5,67,2
